,edges,chrom_sym_func,e_positive
0,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10)]","3840*e[6, 5] + 16128*e[7, 4] + 55200*e[8, 3] + 208992*e[9, 2] + 825120*e[10, 1] + 3141600*e[11]",True
1,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","2400*e[6, 5] + 14112*e[7, 4] + 65280*e[8, 3] + 211008*e[9, 2] + 794880*e[10, 1] + 3030720*e[11]",True
2,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","2880*e[6, 5] + 17856*e[7, 4] + 54720*e[8, 3] + 209664*e[9, 2] + 812160*e[10, 1] + 3199680*e[11]",True
3,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","1440*e[6, 5] + 15264*e[7, 4] + 64800*e[8, 3] + 213696*e[9, 2] + 812160*e[10, 1] + 2835360*e[11]",True
4,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","3360*e[6, 5] + 15552*e[7, 4] + 57120*e[8, 3] + 214368*e[9, 2] + 816480*e[10, 1] + 3036000*e[11]",True
5,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","12672*e[7, 4] + 74880*e[8, 3] + 217728*e[9, 2] + 812160*e[10, 1] + 2471040*e[11]",True
6,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","2400*e[6, 5] + 10656*e[7, 4] + 56640*e[8, 3] + 223104*e[9, 2] + 924480*e[10, 1] + 3505920*e[11]",True
7,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","1440*e[6, 5] + 12384*e[7, 4] + 56160*e[8, 3] + 223776*e[9, 2] + 911520*e[10, 1] + 3564000*e[11]",True
8,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","12096*e[7, 4] + 60480*e[8, 3] + 229824*e[9, 2] + 907200*e[10, 1] + 3326400*e[11]",True
9,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","9792*e[7, 4] + 66240*e[8, 3] + 227808*e[9, 2] + 911520*e[10, 1] + 3199680*e[11]",True
10,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","1920*e[6, 5] + 10080*e[7, 4] + 58560*e[8, 3] + 228480*e[9, 2] + 915840*e[10, 1] + 3400320*e[11]",True
11,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","10368*e[7, 4] + 66240*e[8, 3] + 225792*e[9, 2] + 881280*e[10, 1] + 3453120*e[11]",True
12,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 10), (2, 4), (2, 6), (2, 7), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10), (4, 6), (4, 7), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","6912*e[7, 4] + 57600*e[8, 3] + 237888*e[9, 2] + 1010880*e[10, 1] + 3928320*e[11]",True
13,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10)]","6720*e[6, 5] + 13824*e[7, 4] + 50880*e[8, 3] + 206976*e[9, 2] + 829440*e[10, 1] + 3347520*e[11]",True
14,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","4320*e[6, 5] + 15264*e[7, 4] + 54720*e[8, 3] + 213696*e[9, 2] + 812160*e[10, 1] + 3168000*e[11]",True
15,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","7680*e[6, 5] + 11520*e[7, 4] + 52800*e[8, 3] + 208320*e[9, 2] + 820800*e[10, 1] + 3368640*e[11]",True
16,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","5760*e[6, 5] + 12384*e[7, 4] + 56160*e[8, 3] + 213696*e[9, 2] + 820800*e[10, 1] + 3120480*e[11]",True
17,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","3840*e[6, 5] + 13248*e[7, 4] + 59520*e[8, 3] + 219072*e[9, 2] + 820800*e[10, 1] + 2872320*e[11]",True
18,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10)]","3360*e[6, 5] + 12384*e[7, 4] + 49920*e[8, 3] + 220416*e[9, 2] + 924480*e[10, 1] + 3748800*e[11]",True
19,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (8, 9), (8, 10), (9, 10)]","4320*e[6, 5] + 10080*e[7, 4] + 51840*e[8, 3] + 221760*e[9, 2] + 915840*e[10, 1] + 3769920*e[11]",True
20,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (4, 10), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","1920*e[6, 5] + 11520*e[7, 4] + 55680*e[8, 3] + 228480*e[9, 2] + 898560*e[10, 1] + 3590400*e[11]",True
21,"[(0, 2), (0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 3), (1, 5), (1, 6), (1, 7), (1, 8), (1, 10), (2, 4), (2, 6), (2, 7), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (4, 6), (4, 7), (4, 9), (5, 8), (5, 9), (5, 10), (6, 7), (6, 8), (6, 9), (6, 10), (7, 8), (7, 9), (7, 10), (8, 9), (8, 10), (9, 10)]","2400*e[6, 5] + 10944*e[7, 4] + 55200*e[8, 3] + 227136*e[9, 2] + 915840*e[10, 1] + 3521760*e[11]",True
